date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,WS2M
2020-03-25,29.89,37.12,24.35,0.03,61.57,24.63,2.54
2020-03-26,29.71,36.75,24.31,0.0,61.41,24.16,2.96
2020-03-27,29.38,36.18,24.78,0.34,61.44,23.75,2.8
2020-03-28,29.5,37.61,23.84,0.0,59.58,26.94,2.18
2020-03-29,29.33,37.84,23.11,0.0,58.3,27.0,2.04
2020-03-30,29.18,37.29,22.97,0.0,56.68,27.11,2.21
2020-03-31,29.52,37.39,23.25,0.0,60.79,24.58,2.47
2020-04-01,29.97,37.81,23.82,0.0,61.89,26.19,2.4
2020-04-02,30.68,38.75,24.46,0.01,62.96,25.49,2.64
2020-04-03,30.19,37.98,24.71,0.0,63.51,25.56,2.61
2020-04-04,30.49,38.22,24.18,0.45,63.98,26.05,2.57
2020-04-05,30.9,36.35,26.62,2.52,67.34,23.86,2.43
2020-04-06,30.27,35.4,26.41,0.96,70.67,22.09,2.15
2020-04-07,30.71,36.14,26.21,0.48,65.1,16.0,2.33
2020-04-08,31.18,37.2,26.75,0.88,63.23,23.36,2.26
2020-04-09,31.27,37.55,26.56,1.39,61.38,23.19,2.78
2020-04-10,30.92,37.85,25.72,0.56,60.22,19.8,2.8
2020-04-11,30.83,37.65,25.7,0.08,60.35,25.04,2.63
2020-04-12,30.77,38.47,24.81,0.03,58.95,26.64,2.32
2020-04-13,31.04,38.78,25.15,0.01,57.48,26.63,2.26
2020-04-14,31.11,38.51,25.48,0.03,58.7,26.35,2.5
2020-04-15,30.98,38.53,25.18,0.07,61.43,26.74,2.54
2020-04-16,31.42,38.56,25.67,0.1,62.42,26.23,2.41
2020-04-17,31.72,38.94,25.94,0.26,61.3,23.93,2.66
2020-04-18,32.11,38.66,27.23,0.28,60.56,24.79,2.88
2020-04-19,31.63,38.02,27.04,0.44,62.41,24.47,2.88
2020-04-20,31.41,37.89,26.61,0.33,62.64,25.14,2.82
2020-04-21,31.85,39.37,25.85,0.03,59.83,25.93,2.64
2020-04-22,32.3,39.76,26.44,0.06,59.29,23.68,2.49
2020-04-23,32.9,39.56,27.73,1.18,58.96,24.08,2.65
2020-04-24,32.42,37.85,28.68,0.04,61.69,21.06,3.19
2020-04-25,32.15,36.63,28.92,0.46,63.89,20.88,3.17
2020-04-26,31.29,34.52,28.83,1.43,64.26,10.94,2.51
2020-04-27,31.59,36.08,27.73,2.34,65.61,23.29,2.08
2020-04-28,31.19,35.45,27.99,1.65,65.51,19.08,2.03
2020-04-29,31.43,35.42,27.94,1.08,63.77,17.94,1.44
2020-04-30,31.14,35.05,28.21,0.77,64.7,21.22,1.91
2020-05-01,32.44,39.53,26.87,0.19,58.26,24.16,2.18
2020-05-02,32.65,39.36,27.41,0.52,59.24,23.01,2.47
2020-05-03,32.57,39.27,27.33,0.51,59.89,23.17,2.33
2020-05-04,32.95,39.64,27.35,0.06,56.97,21.97,2.26
2020-05-05,33.01,39.5,27.41,0.05,54.95,24.26,2.67
2020-05-06,32.57,38.19,28.7,0.19,61.11,22.68,3.13
2020-05-07,33.0,39.68,28.05,0.4,56.03,23.18,3.76
2020-05-08,32.62,37.87,28.71,0.4,59.54,23.03,2.97
2020-05-09,32.55,38.42,28.1,0.25,60.28,24.57,2.69
2020-05-10,32.58,38.65,27.95,0.79,59.68,22.65,2.24
2020-05-11,31.3,35.37,28.12,2.34,63.66,21.01,2.03
2020-05-12,30.48,34.76,27.53,2.86,62.16,12.73,2.35
2020-05-13,31.11,36.87,26.09,5.17,60.48,23.12,2.01
2020-05-14,32.36,38.08,27.98,0.37,60.05,23.4,1.92
2020-05-15,32.63,38.99,28.28,0.84,60.25,23.58,2.32
2020-05-16,32.17,37.56,28.31,0.34,60.18,21.25,2.51
2020-05-17,33.09,39.96,28.27,1.63,55.23,15.32,2.17
2020-05-18,32.41,37.43,28.58,1.17,55.14,16.95,4.6
2020-05-19,33.48,39.3,29.02,0.43,50.71,18.9,4.17
2020-05-20,34.42,40.5,29.18,0.47,48.26,20.95,3.9
2020-05-21,33.31,39.18,29.25,0.41,48.19,23.64,4.36
2020-05-22,34.46,41.92,28.23,0.01,46.98,22.86,3.27
2020-05-23,34.66,41.72,29.48,0.06,51.38,24.59,2.98
2020-05-24,34.18,40.19,29.88,0.37,55.73,24.6,2.2
2020-05-25,33.54,38.26,29.87,0.24,58.08,23.37,2.4
2020-05-26,33.79,39.2,29.54,0.18,55.69,21.99,2.63
2020-05-27,33.47,37.86,29.76,0.69,57.27,19.87,2.97
2020-05-28,32.88,37.64,29.54,7.19,59.84,22.77,3.75
2020-05-29,32.68,39.09,28.07,1.28,58.92,21.37,3.83
2020-05-30,32.28,37.65,28.49,0.29,58.93,21.31,3.94
2020-05-31,31.81,36.38,27.82,0.26,61.67,24.05,4.59
2020-06-01,31.42,35.56,27.94,2.24,62.77,20.86,4.26
2020-06-02,30.41,33.89,27.01,1.53,65.5,21.82,3.62
2020-06-03,30.51,34.48,26.89,0.6,61.6,22.87,3.64
2020-06-04,31.18,36.0,26.5,0.13,58.02,22.46,3.51
2020-06-05,31.29,35.7,27.03,1.72,59.9,22.16,3.92
2020-06-06,30.28,34.74,26.84,3.01,65.5,20.24,2.94
2020-06-07,29.74,34.5,26.02,5.19,66.72,19.35,3.43
2020-06-08,31.24,36.71,26.31,0.45,58.89,21.41,2.96
2020-06-09,31.83,37.33,27.33,0.59,52.82,19.59,2.22
2020-06-10,30.59,35.03,27.06,3.7,59.47,12.96,2.3
