label,model,horizon,MAE,R2,perc_delta,kc_delta
perc+0%_kc+15%,random_forest,2,8.359,0.866,0.0,0.15
perc+0%_kc+15%,random_forest,3,10.635,0.829,0.0,0.15
perc+0%_kc+15%,xgboost,1,5.317,0.92,0.0,0.15
perc+0%_kc+15%,xgboost,2,7.476,0.863,0.0,0.15
perc+0%_kc+15%,xgboost,3,9.412,0.834,0.0,0.15
perc+0%_kc+30%,persistence,1,8.464,0.874,0.0,0.3
perc+0%_kc+30%,persistence,2,13.697,0.758,0.0,0.3
perc+0%_kc+30%,persistence,3,18.185,0.646,0.0,0.3
perc+0%_kc+30%,random_forest,1,5.829,0.938,0.0,0.3
perc+0%_kc+30%,random_forest,2,8.04,0.907,0.0,0.3
perc+0%_kc+30%,random_forest,3,9.929,0.876,0.0,0.3
perc+0%_kc+30%,xgboost,1,5.293,0.932,0.0,0.3
perc+0%_kc+30%,xgboost,2,7.652,0.877,0.0,0.3
perc+0%_kc+30%,xgboost,3,10.248,0.844,0.0,0.3
perc+15%_kc-30%,persistence,1,6.279,0.896,0.15,-0.3
perc+15%_kc-30%,persistence,2,9.289,0.8,0.15,-0.3
perc+15%_kc-30%,persistence,3,12.122,0.702,0.15,-0.3
perc+15%_kc-30%,random_forest,1,3.921,0.953,0.15,-0.3
perc+15%_kc-30%,random_forest,2,5.256,0.925,0.15,-0.3
perc+15%_kc-30%,random_forest,3,6.672,0.892,0.15,-0.3
perc+15%_kc-30%,xgboost,1,3.803,0.96,0.15,-0.3
perc+15%_kc-30%,xgboost,2,5.397,0.924,0.15,-0.3
perc+15%_kc-30%,xgboost,3,6.942,0.889,0.15,-0.3
perc+15%_kc-15%,persistence,1,6.98,0.883,0.15,-0.15
perc+15%_kc-15%,persistence,2,10.515,0.774,0.15,-0.15
perc+15%_kc-15%,persistence,3,13.944,0.66,0.15,-0.15
perc+15%_kc-15%,random_forest,1,4.857,0.928,0.15,-0.15
perc+15%_kc-15%,random_forest,2,6.737,0.882,0.15,-0.15
perc+15%_kc-15%,random_forest,3,8.259,0.855,0.15,-0.15
perc+15%_kc-15%,xgboost,1,4.64,0.934,0.15,-0.15
perc+15%_kc-15%,xgboost,2,6.258,0.892,0.15,-0.15
perc+15%_kc-15%,xgboost,3,7.983,0.849,0.15,-0.15
perc+15%_kc+0%,persistence,1,7.336,0.885,0.15,0.0
perc+15%_kc+0%,persistence,2,11.452,0.778,0.15,0.0
perc+15%_kc+0%,persistence,3,15.23,0.667,0.15,0.0
perc+15%_kc+0%,random_forest,1,4.99,0.938,0.15,0.0
perc+15%_kc+0%,random_forest,2,7.368,0.9,0.15,0.0
perc+15%_kc+0%,random_forest,3,8.84,0.869,0.15,0.0
perc+15%_kc+0%,xgboost,1,4.666,0.937,0.15,0.0
perc+15%_kc+0%,xgboost,2,6.611,0.9,0.15,0.0
perc+15%_kc+0%,xgboost,3,8.814,0.861,0.15,0.0
perc+15%_kc+15%,persistence,1,7.871,0.879,0.15,0.15
perc+15%_kc+15%,persistence,2,12.337,0.773,0.15,0.15
perc+15%_kc+15%,persistence,3,16.283,0.674,0.15,0.15
perc+15%_kc+15%,random_forest,1,5.568,0.93,0.15,0.15
perc+15%_kc+15%,random_forest,2,7.782,0.897,0.15,0.15
perc+15%_kc+15%,random_forest,3,9.54,0.874,0.15,0.15
