model,horizon,season,MAE,RMSE,R2,n
random_forest,3,Kuruvai-2021,9.519169143025016,16.671571192747102,0.6697984210680086,110
adaboost,3,Kuruvai-2021,11.51662534835231,18.497557076927425,0.5935053490583211,110
xgboost_q50,3,Kuruvai-2021,8.234767576778475,11.453905961928127,0.8441404890129866,110
persistence,3,Kuruvai-2022,15.52372727272727,21.74057298316591,0.6006012638245384,110
random_forest,3,Kuruvai-2022,9.838481054805344,15.959546210211522,0.784768520244509,110
adaboost,3,Kuruvai-2022,12.326829982571013,17.059860290569492,0.7540676527089609,110
xgboost_q50,3,Kuruvai-2022,9.176231842973015,14.163867025248393,0.8304770910719753,110
persistence,3,Kuruvai-2023,17.311818181818182,31.48317152211494,0.4014034699751644,110
random_forest,3,Kuruvai-2023,7.610090735404079,11.615322786349216,0.918522103095575,110
adaboost,3,Kuruvai-2023,13.916550756713313,17.109380940367448,0.8232148277363804,110
xgboost_q50,3,Kuruvai-2023,8.259311514036222,14.082156604219,0.880238953181004,110
persistence,3,Kuruvai-2024,17.473363636363636,33.9711632926302,0.620941494690585,110
random_forest,3,Kuruvai-2024,7.957349985418127,12.069983621830358,0.9521481459387153,110
adaboost,3,Kuruvai-2024,16.79734317250126,20.47275827469198,0.8623303763030974,110
xgboost_q50,3,Kuruvai-2024,9.434539346781644,17.473016070877208,0.8997184216716091,110
persistence,3,Samba-2015,11.598571428571429,15.803912580659983,0.9279771826972436,140
random_forest,3,Samba-2015,5.2432111668443335,9.629064894848144,0.9732632204383911,140
adaboost,3,Samba-2015,8.168639264441206,12.04837501836034,0.9581401351306679,140
xgboost_q50,3,Samba-2015,5.136864399194717,9.236990158161914,0.9753962202889838,140
persistence,3,Samba-2016,15.871642857142856,27.137422040422333,0.6265706829809834,140
random_forest,3,Samba-2016,13.880478707260133,23.180858317631802,0.7275227435499195,140
adaboost,3,Samba-2016,17.04580485255188,24.02096149713773,0.7074150339811225,140
xgboost_q50,3,Samba-2016,12.127103184665952,19.121541993492478,0.8145968724870631,140
persistence,3,Samba-2017,11.67492857142857,20.972504023125136,0.8554584475486376,140
random_forest,3,Samba-2017,6.738989264630329,11.544734481549414,0.9562014190152492,140
adaboost,3,Samba-2017,10.20938522389415,15.047196602180406,0.9255947923693151,140
xgboost_q50,3,Samba-2017,8.013155607972827,13.875109555372752,0.9367347856182693,140
persistence,3,Samba-2018,14.558571428571428,20.460949740559805,0.81968832999552,140
random_forest,3,Samba-2018,8.716449220317696,14.515810407821066,0.9092482866687274,140
adaboost,3,Samba-2018,11.330264674230053,16.669032976392096,0.8803278564653922,140
xgboost_q50,3,Samba-2018,8.642209109919412,14.358126651336557,0.911209230804817,140
persistence,3,Samba-2019,11.5055,14.2393727038799,0.6547823073935194,140
random_forest,3,Samba-2019,4.909071667361296,6.49108291801034,0.9282625980237922,140
adaboost,3,Samba-2019,7.744797419033038,9.959834837277807,0.831105462414525,140
xgboost_q50,3,Samba-2019,5.1779846126011435,6.923374680030076,0.9183893190805565,140
persistence,3,Samba-2020,14.316785714285714,19.466800731355054,0.7904609998439178,140
random_forest,3,Samba-2020,7.521097010640754,12.451772595697049,0.9142689659668537,140
adaboost,3,Samba-2020,10.475216236400538,15.447282463124662,0.8680589680288376,140
xgboost_q50,3,Samba-2020,7.6248474372582775,12.168702186980433,0.9181225656380696,140
persistence,3,Samba-2021,10.0655,15.581988021888789,0.8534228403722406,140
random_forest,3,Samba-2021,5.942359734955223,9.414821213202364,0.9464887958673541,140
adaboost,3,Samba-2021,8.469603926254551,12.463633391301977,0.9062200705961558,140
xgboost_q50,3,Samba-2021,6.164689110617553,9.886045044986561,0.9409981350380552,140
persistence,3,Samba-2022,11.952285714285715,16.68537661718017,0.8652801935981655,140
random_forest,3,Samba-2022,6.976277560450226,10.31387386300769,0.9485242060449176,140
adaboost,3,Samba-2022,9.583645745375453,13.097742169049319,0.9169858173216566,140
xgboost_q50,3,Samba-2022,6.846020339471953,9.827254207379665,0.9532669847406541,140
persistence,3,Samba-2023,14.884071428571428,25.385597280460317,0.74314486328219,140
random_forest,3,Samba-2023,8.390601309880454,14.318410603768765,0.9182847510868942,140
adaboost,3,Samba-2023,11.571542994659357,17.7586461148173,0.8743006045156645,140
xgboost_q50,3,Samba-2023,10.103075306526252,18.25410199146101,0.8671888831873589,140
